case_id,location_code,cluster_number,block_number,SRQ,date,form_id,username,Contact,Participation,Return,Residency_Requirement,Fecha_de_nacimiento,Sex,Number_in_Family,Prior_Product_Use,Current_Product_Use,Mosquitero_Use,Recommend_to_others,Problems_with_Repellents,type_of_problem,Otra_Respuesta_Problems_with_Repellents,Pay_for_Repellents,Mosquito_Density,Mosquito_Bite_Rate,Tablet_Use,SRQ1
27e13ba0-bc1f-489c-acee-13a34f7fa93f,PU198,4.1,442,sr1,2017-05-02,26bc71ec-ece0-4eef-8191-3060498075fd,madison,yes,yes,NA,yes,1967-03-30,male,2,never,NA,less,yes,never,NA,NA,no,same,less,ok,sr1
015582af-6ef8-4ac9-ac8f-dfbb0fd1c3fa,PU180,4.1,442,sr3,2019-01-22,ef3b588e-ab94-45a5-8640-77048317be45,rosana,yes,yes,NA,yes,1964-06-22,male,NA,yes,less,never,yes,never,NA,NA,no,less,less,easy,sr3
015582af-6ef8-4ac9-ac8f-dfbb0fd1c3fa,PU180,4.1,442,sr2,2018-05-25,36068ede-53d5-486e-9633-9ce086a2c6ff,iquitos_nn,yes,yes,NA,yes,1964-06-22,male,1,yes,less,never,yes,never,NA,NA,no,same,less,easy,sr2
015582af-6ef8-4ac9-ac8f-dfbb0fd1c3fa,PU180,4.1,442,sr1,2017-05-02,f91c5588-5857-4595-9139-0b37180e9ad1,madison,yes,yes,NA,yes,1977-02-14,female,2,never,NA,never,yes,never,NA,NA,yes,less,less,easy,sr1
9a33e725-2ac0-4dd3-aa9b-ac5af4e97c17,PU181,4.1,442,sr3,2019-01-22,d67cdf69-aa46-4ae1-8165-0c4912137429,rosana,yes,yes,NA,yes,1964-06-23,female,NA,never,NA,never,no,never,NA,NA,no,same,same,easy,sr3
9a33e725-2ac0-4dd3-aa9b-ac5af4e97c17,PU181,4.1,442,sr2,2018-06-08,68dbd0c7-6957-4fe0-818d-823b6459fc51,iquitos_nn,yes,yes,NA,yes,1939-03-10,female,1,yes,less,equal,yes,never,NA,NA,yes,less,less,easy,sr2
9a33e725-2ac0-4dd3-aa9b-ac5af4e97c17,PU181,4.1,442,sr1,2017-05-02,d3a6e2b8-6f33-4c21-a080-ebdc0a38799f,madison,yes,yes,NA,yes,1994-08-18,female,11,yes,equal,equal,no,never,NA,NA,no,same,same,easy,sr1
64b19845-2fb0-4ce9-911e-e5c873f513c6,PU183,4.1,442,sr3,2019-01-22,f6ce5a44-c131-4df7-902b-e43fc2f4efbf,rosana,yes,yes,NA,yes,1991-08-08,male,NA,yes,equal,never,yes,never,NA,NA,no,less,less,easy,sr3
64b19845-2fb0-4ce9-911e-e5c873f513c6,PU183,4.1,442,sr1,2017-05-02,67a7bd64-1e6d-4a15-a9fd-80dba23026f4,madison,yes,yes,NA,yes,1983-11-14,male,3,yes,less,never,yes,never,NA,NA,no,less,less,easy,sr1
315415e3-0783-40c0-8bde-73fa33edafde,PU184A,4.1,442,sr3,2019-01-22,90be73f0-b7e8-493d-ba28-050395cc544e,rosana,yes,yes,NA,yes,1969-03-10,female,NA,never,NA,less,yes,never,NA,NA,no,less,less,easy,sr3
315415e3-0783-40c0-8bde-73fa33edafde,PU184A,4.1,442,sr2,2018-06-22,814d302e-2974-4127-af65-0eb7c5c4feaf,iquitos_fc,yes,yes,NA,yes,1969-03-03,female,1,yes,less,never,yes,never,NA,NA,yes,less,same,ok,sr2
315415e3-0783-40c0-8bde-73fa33edafde,PU184A,4.1,442,NA,2017-05-02,ec5d576f-886c-46fc-815a-561ef569f27e,madison,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr1
be4e1e13-7e1a-4a6f-b462-1d253493eb92,PU184B,4.1,442,NA,2019-01-22,0b7a76a2-fe0a-41d1-b45f-cca57aa9d84d,rosana,yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr3
be4e1e13-7e1a-4a6f-b462-1d253493eb92,PU184B,4.1,442,sr2,2018-05-25,3a919a8b-74d4-44f8-acc8-17259ee2de84,iquitos_nn,yes,yes,NA,yes,1989-06-03,female,1,never,NA,equal,yes,never,NA,NA,no,less,less,easy,sr2
be4e1e13-7e1a-4a6f-b462-1d253493eb92,PU184B,4.1,442,NA,2017-05-02,35a80424-ec17-4950-8d93-f3d477b4a7b0,madison,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr1
cfc05391-0de9-4aa3-9e18-6bfbe578c74b,PU184C1,4.1,442,sr3,2019-01-22,ea0cc035-72dc-4b11-8601-5967526dcd83,rosana,yes,yes,NA,yes,1968-05-05,male,NA,yes,less,less,yes,never,NA,NA,yes,less,less,easy,sr3
21d37cde-bbb9-44a3-892b-e4a5f2d15d32,PU186,4.1,442,sr3,2019-01-22,5beb5631-a088-4b86-a1b6-e19d04a0dad7,rosana,yes,yes,NA,yes,1964-12-23,female,NA,never,NA,never,no,never,NA,NA,no,same,less,ok,sr3
21d37cde-bbb9-44a3-892b-e4a5f2d15d32,PU186,4.1,442,sr2,2018-06-22,031c1e58-6726-4508-a883-b5ea1c46d387,iquitos_nn,yes,yes,NA,yes,1964-12-23,female,1,yes,less,equal,yes,never,NA,NA,no,less,same,difficult,sr2
e3a6b308-1b47-4678-941e-2e3d01ce22a7,PU189A,4.1,442,sr3,2019-01-22,97499a97-d11f-478e-a544-f747a4924a62,rosana,yes,yes,NA,yes,1977-01-10,female,NA,yes,less,equal,no,never,NA,NA,no,same,less,easy,sr3
e3a6b308-1b47-4678-941e-2e3d01ce22a7,PU189A,4.1,442,sr2,2018-06-22,5b12ae23-d6c1-42ef-985c-18e34654464a,iquitos_nn,yes,yes,NA,yes,1977-01-10,female,1,yes,equal,equal,yes,never,NA,NA,no,more,same,difficult,sr2
e3a6b308-1b47-4678-941e-2e3d01ce22a7,PU189A,4.1,442,sr1,2017-05-02,d2764ce6-fa34-4632-af26-675ed3aab6d7,madison,yes,yes,NA,yes,1972-09-21,male,1,yes,equal,less,yes,never,NA,NA,no,more,same,easy,sr1
a235d663-a12d-4399-8f51-02c195b64339,PU191A,4.1,442,sr3,2019-01-22,e55f4a2c-b25e-47d6-8590-abf9c7c69367,rosana,yes,yes,NA,yes,1984-01-07,male,NA,never,NA,never,yes,never,NA,NA,no,same,same,easy,sr3
a235d663-a12d-4399-8f51-02c195b64339,PU191A,4.1,442,sr2,2018-05-25,2c93b6e1-4b39-40d4-b363-2e905cc8c5be,iquitos_nn,yes,yes,NA,yes,1995-02-21,female,1,yes,equal,equal,yes,never,NA,NA,no,same,same,easy,sr2
51324cfc-efcb-4160-8501-f17e9aa8d2ee,PU193,4.1,442,NA,2019-01-22,3ca4e9d2-ae24-4779-a492-074a01c2bf4e,rosana,yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sr3
51324cfc-efcb-4160-8501-f17e9aa8d2ee,PU193,4.1,442,sr2,2018-05-25,f1fcafa4-723b-4291-a4e3-de7f42763571,iquitos_nn,yes,yes,NA,yes,1959-08-19,female,1,never,NA,equal,yes,never,NA,NA,no,same,less,ok,sr2
51324cfc-efcb-4160-8501-f17e9aa8d2ee,PU193,4.1,442,sr1,2017-05-02,76cb6ab0-5d43-4e31-aea4-6f442fd22f33,madison,yes,yes,NA,yes,1939-06-05,female,1,never,NA,less,yes,never,NA,NA,yes,less,less,difficult,sr1
2fee08a5-c144-4648-ac5d-8dfb84ff66b1,PU197,4.1,442,sr3,2019-01-22,575f1cde-906b-40b2-a895-4f1d3458335d,rosana,yes,yes,NA,yes,1958-06-05,female,NA,yes,less,never,yes,never,NA,NA,yes,less,less,easy,sr3
11d6d02a-d39e-490b-9fa8-f095c64f7464,PU199,4.1,442,sr3,2019-01-22,50352e31-3ed3-46a7-aa64-5b1e4aa14338,rosana,yes,yes,NA,yes,1990-11-23,female,NA,never,NA,never,yes,never,NA,NA,yes,less,less,easy,sr3
11d6d02a-d39e-490b-9fa8-f095c64f7464,PU199,4.1,442,sr2,2018-06-08,798ee2a1-ec1b-4b1e-b0d2-934414cc6c36,iquitos_nn,yes,yes,NA,yes,1990-11-23,female,1,never,NA,never,yes,never,NA,NA,yes,less,same,easy,sr2
11d6d02a-d39e-490b-9fa8-f095c64f7464,PU199,4.1,442,sr1,2017-05-02,5b4b1c59-030f-4b15-a1a3-799d1cec7163,madison,yes,yes,NA,yes,1990-11-23,female,6,yes,less,less,yes,never,NA,NA,yes,less,less,easy,sr1
