"","Cluster","Date","total_caught"
"1",11,2016-11-02,0
"2",11,2017-01-11,0
"3",11,2017-06-28,0
"4",11,2017-07-12,0
"5",11,2017-07-26,0
"6",11,2017-08-23,0
"7",11,2017-09-06,0
"8",11,2017-10-04,1
"9",11,2017-10-31,0
"10",11,2017-11-30,1
"11",11,2017-12-14,0
"12",11,2017-12-28,0
"13",11,2018-01-11,0
"14",11,2018-01-25,0
"15",11,2018-02-08,2
"16",11,2018-02-22,0
"17",11,2018-03-08,0
"18",11,2018-03-22,0
"19",11,2018-04-05,0
"20",11,2018-04-19,0
"21",11,2018-05-03,0
"22",11,2018-05-17,0
"23",11,2018-05-31,0
"24",11,2018-06-14,0
"25",11,2018-06-27,1
"26",11,2018-07-12,0
"27",11,2018-07-26,0
"28",11,2018-08-09,0
"29",11,2018-08-23,0
"30",11,2018-09-06,0
"31",11,2018-09-20,0
"32",11,2018-10-04,0
"33",11,2018-10-18,1
"34",11,2018-10-31,0
"35",11,2018-11-15,0
"36",11,2018-11-28,1
"37",11,2018-12-27,0
"38",11,2019-01-10,4
"39",11,2016-10-05,3
"40",11,2016-10-18,0
"41",11,2016-11-02,0
"42",11,2016-11-16,0
"43",11,2016-11-30,0
"44",11,2016-12-14,0
"45",11,2016-12-28,0
"46",11,2017-01-11,0
"47",11,2017-01-25,0
"48",11,2017-02-08,1
"49",11,2017-02-22,1
"50",11,2017-03-08,1
"51",11,2017-03-22,0
"52",11,2017-04-05,1
"53",11,2017-04-19,0
"54",11,2017-05-03,0
"55",11,2017-05-17,0
"56",11,2017-05-31,0
"57",11,2017-06-14,0
"58",11,2017-06-28,0
"59",11,2017-07-12,0
"60",11,2017-07-26,0
"61",11,2017-08-09,0
"62",11,2017-08-23,0
"63",11,2017-09-06,0
"64",11,2017-09-20,0
"65",11,2017-10-04,0
"66",11,2017-10-18,0
"67",11,2017-10-31,0
"68",11,2017-11-30,0
"69",11,2017-12-14,0
"70",11,2018-01-25,0
"71",11,2018-02-08,1
"72",11,2018-02-22,0
"73",11,2018-03-08,0
"74",11,2018-03-22,0
"75",11,2018-04-05,0
"76",11,2018-04-19,0
"77",11,2018-05-03,0
"78",11,2018-05-17,0
"79",11,2018-05-31,0
"80",11,2018-06-14,0
"81",11,2018-06-27,0
"82",11,2018-07-12,0
"83",11,2018-07-26,0
"84",11,2018-08-23,0
"85",11,2018-09-06,0
"86",11,2018-09-20,1
"87",11,2018-10-04,1
"88",11,2018-10-18,1
"89",11,2018-10-31,1
"90",11,2018-11-15,0
"91",11,2018-11-28,0
"92",11,2018-12-13,0
"93",11,2018-12-27,3
"94",11,2019-01-10,1
"95",11,2016-10-05,0
"96",11,2016-10-18,0
"97",11,2016-11-02,0
"98",11,2016-11-16,0
"99",11,2016-11-30,0
"100",11,2016-12-28,0
"101",11,2017-02-08,0
"102",11,2017-04-19,0
"103",11,2017-05-17,0
"104",11,2017-08-09,0
"105",11,2017-08-23,0
"106",11,2017-09-06,0
"107",11,2017-10-31,3
"108",11,2018-06-14,0
"109",11,2018-07-26,0
"110",11,2018-10-18,0
"111",11,2018-10-31,0
"112",11,2018-11-15,0
"113",11,2018-11-28,0
"114",11,2018-12-13,1
"115",11,2019-01-10,0
"116",11,2016-11-02,0
"117",11,2016-12-28,0
"118",11,2017-01-25,0
"119",11,2017-02-08,0
"120",11,2017-02-22,0
"121",11,2017-03-08,0
"122",11,2017-03-22,0
"123",11,2017-04-05,0
"124",11,2017-04-19,0
"125",11,2017-05-03,0
"126",11,2017-05-17,0
"127",11,2017-05-31,0
"128",11,2017-06-28,0
"129",11,2017-07-12,0
"130",11,2017-08-09,0
"131",11,2017-09-06,0
"132",11,2017-09-20,0
"133",11,2017-10-04,0
"134",11,2017-10-05,0
"135",11,2017-10-18,1
"136",11,2017-11-15,1
"137",11,2017-11-30,0
"138",11,2017-12-14,0
"139",11,2017-12-28,0
"140",11,2018-01-11,0
